mode,dataset_index,gold_answer,greedy_prediction,greedy_correct,valid_format,thinking_words,reflection_words,sc_n1_prediction,sc_n1_correct
base,13,18,,False,False,0,0,,False
base,51,5,,False,False,0,0,,False
base,54,40,,False,False,0,0,,False
base,61,1430,,False,False,0,0,,False
base,65,36,,False,False,0,0,,False
base,178,122,,False,False,0,0,,False
base,191,5,,False,False,0,0,,False
base,209,145,,False,False,0,0,,False
base,228,1,,False,False,0,0,,False
base,285,21,,False,False,0,0,,False
base,326,14,,False,False,0,0,,False
base,407,2000,,False,False,0,0,,False
base,447,5,,False,False,0,0,,False
base,451,11050,,False,False,0,0,,False
base,457,45,,False,False,0,0,,False
base,476,5,,False,False,0,0,,False
base,501,273,,False,False,0,0,,False
base,563,12,,False,False,0,0,,False
base,569,21,,False,False,0,0,,False
base,859,1520,,False,False,0,0,,False
base,864,80,,False,False,0,0,,False
base,865,23,,False,False,0,0,,False
base,919,90,,False,False,0,0,,False
base,1034,66,,False,False,0,0,,False
base,1116,60,,False,False,0,0,,False
base,1149,93,,False,False,0,0,,False
base,1206,40000,,False,False,0,0,,False
base,1209,29,,False,False,0,0,,False
base,1232,15,,False,False,0,0,,False
base,1309,2280,,False,False,0,0,,False
adapter,13,18,,False,False,314,0,,False
adapter,51,5,,False,False,0,0,,False
adapter,54,40,54,False,True,188,57,54,False
adapter,61,1430,1430,True,True,183,66,1430,True
adapter,65,36,36,True,True,323,119,36,True
adapter,178,122,122,True,True,269,46,122,True
adapter,191,5,5,True,True,202,43,5,True
adapter,209,145,155,False,True,236,89,155,False
adapter,228,1,1,True,True,338,60,1,True
adapter,285,21,21,True,True,230,126,21,True
adapter,326,14,,False,False,410,0,,False
adapter,407,2000,,False,False,0,0,,False
adapter,447,5,1,False,True,253,73,1,False
adapter,451,11050,11050,True,True,267,54,11050,True
adapter,457,45,45,True,True,200,69,45,True
adapter,476,5,5,True,True,304,72,5,True
adapter,501,273,,False,False,344,0,,False
adapter,563,12,12,True,True,327,93,12,True
adapter,569,21,,False,False,0,0,,False
adapter,859,1520,1520,True,True,290,56,1520,True
adapter,864,80,120,False,True,251,83,120,False
adapter,865,23,23,True,True,219,94,23,True
adapter,919,90,225,False,True,231,46,225,False
adapter,1034,66,66,True,True,273,97,66,True
adapter,1116,60,60,True,True,332,54,60,True
adapter,1149,93,30,False,True,250,62,30,False
adapter,1206,40000,40000,True,True,267,61,40000,True
adapter,1209,29,29,True,True,263,58,29,True
adapter,1232,15,15,True,True,206,46,15,True
adapter,1309,2280,2180,False,True,175,90,2180,False
