mode,dataset_index,gold_answer,greedy_prediction,greedy_correct,valid_format,thinking_words,reflection_words,sc_n1_prediction,sc_n1_correct
base,13,18,15,False,True,153,12,18,True
base,51,5,40,False,True,147,22,5,True
base,54,40,40,True,True,106,22,40,True
base,61,1430,1430,True,True,80,36,1430,True
base,65,36,36,True,False,0,76,36,True
base,88,8000,7000,False,True,82,16,7090.909090909091,False
base,93,36,36,True,True,135,38,36,True
base,114,6,6,True,True,168,28,6,True
base,135,40,10,False,True,101,11,50,False
base,142,140,140,True,False,0,50,140,True
base,146,2125,2125,True,False,0,13,2125,True
base,161,32,32,True,False,0,0,32,True
base,163,50,50,True,True,151,9,50,True
base,178,122,92,False,True,104,15,122,True
base,189,34,34,True,False,0,0,11.75,False
base,191,5,5,True,True,101,44,1.75,False
base,198,320,320,True,True,118,23,320,True
base,206,860,860,True,False,0,52,860,True
base,209,145,1550,False,True,203,18,150,False
base,228,1,1,True,True,108,37,1,True
base,255,192,176,False,True,156,21,176,False
base,285,21,21,True,True,75,10,21,True
base,292,75,75,True,True,83,16,75,True
base,318,123,123,True,True,134,18,123,True
base,326,14,14,True,True,159,21,14,True
base,333,100,150,False,False,0,52,100,True
base,334,6,6,True,True,104,32,6,True
base,350,8,8,True,True,115,11,8,True
base,393,20,20,True,True,159,24,20,True
base,407,2000,3000,False,True,115,9,3000,False
adapter,13,18,18,True,True,366,47,18,True
adapter,51,5,,False,False,0,0,,False
adapter,54,40,40,True,True,263,71,40,True
adapter,61,1430,1430,True,True,166,65,1430,True
adapter,65,36,252,False,True,240,104,252,False
adapter,88,8000,7000,False,True,49,85,7000,False
adapter,93,36,36,True,True,178,73,36,True
adapter,114,6,6,True,True,173,68,6,True
adapter,135,40,40,True,True,196,86,40,True
adapter,142,140,140,True,True,155,58,140,True
adapter,146,2125,2125,True,True,160,54,2125,True
adapter,161,32,32,True,True,178,114,32,True
adapter,163,50,24,False,True,307,46,24,False
adapter,178,122,122,True,True,147,50,122,True
adapter,189,34,34,True,True,282,65,34,True
adapter,191,5,5,True,True,224,74,5,True
adapter,198,320,320,True,True,356,91,320,True
adapter,206,860,860,True,True,315,134,860,True
adapter,209,145,20,False,True,370,104,20,False
adapter,228,1,1,True,True,181,58,1,True
adapter,255,192,96,False,True,177,65,96,False
adapter,285,21,21,True,True,105,43,21,True
adapter,292,75,75,True,True,303,113,75,True
adapter,318,123,123,True,True,212,37,123,True
adapter,326,14,10,False,True,251,136,10,False
adapter,333,100,100,True,True,251,72,100,True
adapter,334,6,6,True,True,160,58,6,True
adapter,350,8,8,True,True,207,80,8,True
adapter,393,20,20,True,True,212,80,20,True
adapter,407,2000,2000,True,True,196,96,2000,True
