mode,dataset_index,gold_answer,greedy_prediction,greedy_correct,valid_format,thinking_words,reflection_words,sc_n1_prediction,sc_n1_correct
base,13,18,,False,False,0,0,,False
base,51,5,,False,False,0,0,,False
base,54,40,,False,False,0,0,,False
base,61,1430,,False,False,0,0,,False
base,65,36,,False,False,0,0,,False
base,178,122,,False,False,0,0,,False
base,191,5,,False,False,0,0,,False
base,209,145,,False,False,0,0,,False
base,228,1,,False,False,0,0,,False
base,285,21,,False,False,0,0,,False
base,326,14,,False,False,0,0,,False
base,407,2000,,False,False,0,0,,False
base,447,5,,False,False,0,0,,False
base,451,11050,,False,False,0,0,,False
base,457,45,,False,False,0,0,,False
base,476,5,,False,False,0,0,,False
base,501,273,,False,False,0,0,,False
base,563,12,,False,False,0,0,,False
base,569,21,,False,False,0,0,,False
base,859,1520,,False,False,0,0,,False
base,864,80,,False,False,0,0,,False
base,865,23,,False,False,0,0,,False
base,919,90,,False,False,0,0,,False
base,1034,66,,False,False,0,0,,False
base,1116,60,,False,False,0,0,,False
base,1149,93,,False,False,0,0,,False
base,1206,40000,,False,False,0,0,,False
base,1209,29,,False,False,0,0,,False
base,1232,15,,False,False,0,0,,False
base,1309,2280,,False,False,0,0,,False
adapter,13,18,,False,False,0,0,,False
adapter,51,5,3,False,True,333,123,3,False
adapter,54,40,40,True,True,214,55,40,True
adapter,61,1430,1430,True,True,184,58,1430,True
adapter,65,36,36,True,True,208,79,36,True
adapter,178,122,122,True,True,221,68,122,True
adapter,191,5,5,True,True,354,73,5,True
adapter,209,145,,False,False,358,0,,False
adapter,228,1,4.5,False,True,278,59,4.5,False
adapter,285,21,21,True,True,213,57,21,True
adapter,326,14,14,True,True,216,74,14,True
adapter,407,2000,,False,False,0,0,,False
adapter,447,5,15,False,True,235,109,15,False
adapter,451,11050,,False,False,379,63,,False
adapter,457,45,45,True,True,232,37,45,True
adapter,476,5,5,True,True,253,68,5,True
adapter,501,273,,False,False,0,0,,False
adapter,563,12,12,True,True,219,85,12,True
adapter,569,21,21,True,True,274,37,21,True
adapter,859,1520,1520,True,True,297,42,1520,True
adapter,864,80,100,False,True,190,91,100,False
adapter,865,23,23,True,True,242,22,23,True
adapter,919,90,75,False,True,258,70,75,False
adapter,1034,66,66,True,True,306,39,66,True
adapter,1116,60,60,True,True,230,65,60,True
adapter,1149,93,90,False,True,205,58,90,False
adapter,1206,40000,190000,False,True,273,41,190000,False
adapter,1209,29,,False,False,0,0,,False
adapter,1232,15,15,True,True,204,88,15,True
adapter,1309,2280,2180,False,True,230,56,2180,False
